variable,date,best_model,rmse_vs_era5,correlation_vs_era5
Air temperature,2015-09-08,RBF linear,273.63830690590464,0.763764819985864
Air temperature,2015-09-09,RBF linear,273.3503202327744,0.9139037653818142
Air temperature,2015-09-10,RBF linear,268.6434491120285,0.7998652536880229
Air temperature,2015-09-11,RBF linear,262.9862480579906,0.7233759105850242
Air temperature,2015-09-12,RBF linear,262.5966939701764,0.7486754490764302
Air temperature,2015-10-01,RBF linear,253.55471553274347,0.7420036901452159
Air temperature,2015-10-02,RBF linear,260.7213561047539,0.8053753105798674
Air temperature,2015-10-03,RBF linear,267.85496321882,0.7871138907285198
Air temperature,2015-10-04,RBF linear,270.04397670438965,0.857065007738516
Air temperature,2015-10-05,RBF linear,272.9175536219823,0.765714311202594
Air temperature,2015-10-06,RBF linear,277.2988023024977,0.7702724408321789
Air temperature,2015-10-07,RBF linear,278.3033722105388,0.7808187597829751
Air temperature,2015-10-08,RBF linear,278.55090057669696,0.7508042933071517
Air temperature,2015-10-09,RBF linear,277.1406612217647,0.8445035510777423
Air temperature,2015-10-10,RBF linear,272.95084529921814,0.8898142746641619
Air temperature,2015-10-11,RBF linear,265.65561921682604,0.7287624715326213
Air temperature,2015-10-12,RBF linear,264.9360498348901,0.8735746782312055
Air temperature,2015-11-01,RBF linear,259.6384586815704,0.7803996834633501
Air temperature,2015-11-02,RBF linear,262.0910917271388,0.6414658156587315
Air temperature,2015-11-03,RBF linear,270.50895766192826,0.7949460992618498
Air temperature,2015-11-04,RBF linear,272.4036408926035,0.798092840439825
Air temperature,2015-11-05,RBF linear,275.2991891011001,0.8165969307951305
Air temperature,2015-11-06,RBF linear,281.3950486581958,0.7059461949817759
Air temperature,2015-11-07,RBF linear,284.3112206328068,0.6429077828245978
Air temperature,2015-11-08,RBF linear,285.14933182544826,0.6072330380029003
Air temperature,2015-11-09,RBF linear,282.1499694769007,0.7063494262297287
Air temperature,2015-11-10,RBF linear,279.4812085969859,0.6065779948341959
Air temperature,2015-11-11,RBF linear,271.6753654732809,0.9343044084011172
Air temperature,2015-11-12,RBF linear,272.3056715796822,0.902237518115875
Air temperature,2015-12-01,RBF linear,268.34914423454313,0.7839006470411757
Air temperature,2015-12-02,RBF linear,267.66043662622894,0.5483723625430242
Air temperature,2015-12-03,RBF linear,276.39864529974375,0.6229213672843638
Air temperature,2015-12-04,RBF linear,278.76377670265043,0.6449989752591717
Air temperature,2015-12-05,RBF linear,280.72221128865914,0.7563730002848482
Air temperature,2015-12-06,RBF linear,285.9464430402764,0.6393597028787846
Air temperature,2015-12-07,RBF linear,287.6301422861407,0.5564582786918838
Air temperature,2015-12-08,RBF linear,287.13975233585467,0.6340541209551434
Air temperature,2015-12-09,RBF linear,282.88029238779,0.7474021594825192
Air temperature,2015-12-10,RBF linear,279.78631871203066,0.7647267347983089
Air temperature,2015-12-11,RBF linear,272.10862468995145,0.9170863583380413
Air temperature,2015-12-12,RBF linear,272.2745082384744,0.9665214638671009
Precipitation,2015-01-01,Linear,3.1993906988737124,0.6449462553596498
Precipitation,2015-01-02,Linear,5.217861629442748,0.17279265640736288
Precipitation,2015-01-03,Linear,5.995504934387618,0.32196248607058053
Precipitation,2015-01-04,Linear,1.5494715194813324,0.1563380564154164
Precipitation,2015-01-05,Linear,2.0580769190456625,0.012583280786402678
Precipitation,2015-01-06,Linear,5.926130272180841,0.21523537214670516
Precipitation,2015-01-07,Linear,7.291748679522523,0.4202114031929714
Precipitation,2015-01-08,Linear,5.138105276804482,0.022761014295094053
Precipitation,2015-01-09,Linear,2.267245098721096,-0.10034205718597752
Precipitation,2015-01-10,Linear,7.1351522837235475,0.0753713220291342
Precipitation,2015-01-11,Linear,8.66280224599017,0.27460906075328095
Precipitation,2015-01-12,Linear,7.722943907127295,0.23676625518298428
Precipitation,2015-02-01,Linear,4.431977086637946,0.08438880670143065
Precipitation,2015-02-02,Linear,5.191484348660442,0.6668565010834226
Precipitation,2015-02-03,Linear,3.443903339371965,-0.15691594537153042
Precipitation,2015-02-04,Linear,3.917524862779801,-0.025226805121036713
Precipitation,2015-02-05,Linear,0.5269217896887939,-0.09411831001728654
Precipitation,2015-02-06,Linear,8.114462295509762,0.019293243365351567
Precipitation,2015-02-07,Linear,8.600052779928076,-0.11237482327084362
Precipitation,2015-02-08,Linear,5.081286789056827,-0.017654480508573968
Precipitation,2015-02-09,Linear,2.3719098514726906,0.07969241626082543
Precipitation,2015-02-10,Linear,18.981694244894225,0.49233201264553966
Precipitation,2015-02-11,Linear,6.909478264654166,0.036893004536944454
Precipitation,2015-02-12,Linear,6.042667626292376,0.15969791695154534
Precipitation,2015-03-01,Linear,11.857454727941612,0.4010336624621703
Precipitation,2015-03-02,Linear,3.8671581519919997,-0.07624056953770723
Precipitation,2015-03-03,Linear,3.8179048416019454,0.26363642874809196
Precipitation,2015-03-04,Linear,8.126680549089484,0.5391382604125556
Precipitation,2015-03-05,Linear,2.2844448307078986,-0.11819462820241249
Precipitation,2015-03-06,Linear,8.262344918586733,0.1102515380479766
Precipitation,2015-03-07,Linear,8.192202363650912,-0.069298354200237
Precipitation,2015-03-08,Linear,4.980130936119148,-0.03339569183638578
Precipitation,2015-03-09,Linear,2.830840727160428,0.034029472042662726
Precipitation,2015-03-10,Linear,11.455660106118355,-0.030116425964108285
Precipitation,2015-03-11,Linear,10.964198550546818,-0.05074518922324713
Precipitation,2015-03-12,Linear,10.464529651255024,0.06721722784417915
Precipitation,2015-04-01,Linear,16.918673296455232,0.1836801720238803
Precipitation,2015-04-02,Linear,4.152675458459382,0.02551488777024986
Precipitation,2015-04-03,Linear,7.059150097383599,0.6175967571081411
Precipitation,2015-04-04,Linear,2.9617853721131513,0.3440393085194336
Precipitation,2015-04-05,Linear,3.494292515468088,-0.1262483165128454
Precipitation,2015-04-06,Linear,4.055981035149119,-0.042761914481791174
Precipitation,2015-04-07,Linear,5.357387049295784,-0.045307217957061864
Precipitation,2015-04-08,Linear,19.447726858915107,0.021894336102665415
Precipitation,2015-04-09,Linear,2.9120695950768094,0.16019673745854576
Precipitation,2015-04-10,Linear,16.476907835161875,-0.1258291326893637
Precipitation,2015-04-11,Linear,2.144651486366123,-0.12172346575528505
Precipitation,2015-04-12,Linear,4.188298708378412,-0.00981158320495086
Precipitation,2015-05-01,Linear,13.607194327119286,0.003248854943584092
Precipitation,2015-05-02,Linear,11.339351455135981,0.10456832043338896
Precipitation,2015-05-03,Linear,5.595680374588585,-0.03116894777596954
Precipitation,2015-05-04,Linear,2.6836168376973313,-0.054614280365796526
Precipitation,2015-05-05,Linear,5.731013916070662,0.38653911922400475
Precipitation,2015-05-06,Linear,4.636405044056457,0.01941595035593293
Precipitation,2015-05-07,Linear,9.321690032108574,0.10431480266415762
Precipitation,2015-05-08,Linear,5.895176789957929,0.12951280788685332
Precipitation,2015-05-09,Linear,5.341957313200147,-0.10433450851134941
Precipitation,2015-05-10,Linear,2.3502545534529937,-0.05784106293757605
Precipitation,2015-05-11,Linear,6.055709964519661,0.5919651596718608
Precipitation,2015-05-12,Linear,7.222979305315819,0.027373911779075177
Precipitation,2015-06-01,Linear,1.245457488208382,0.11779581675337031
Precipitation,2015-06-02,Linear,20.017397345036418,0.04036846679582162
Precipitation,2015-06-03,Linear,0.23939516159408442,0.2424492194536842
Precipitation,2015-06-04,Linear,3.192376020781872,-0.0551857153081767
Precipitation,2015-06-05,Linear,7.7794397310673515,0.20136985398334104
Precipitation,2015-06-06,Linear,5.8796669816626,0.1947507338092428
Precipitation,2015-06-07,Linear,8.690100407014965,0.2836009734543455
Precipitation,2015-06-08,Linear,8.519215884310096,0.041497626141403426
Precipitation,2015-06-09,Linear,5.56433120022475,-0.07377162492966748
Precipitation,2015-06-10,Linear,1.535341430713782,0.10428233938033676
Precipitation,2015-06-11,Linear,24.6148965443767,0.03974150958550363
Precipitation,2015-06-12,Linear,9.30011776005604,-0.05601081498995726
Precipitation,2015-07-01,Linear,1.0168379744406382,0.2609146457361697
Precipitation,2015-07-02,Linear,10.374212847211849,-0.12744452695354022
Precipitation,2015-07-03,Linear,0.33639349585930933,-0.017553942359440737
Precipitation,2015-07-04,Linear,4.909963903636756,0.020494245469313624
Precipitation,2015-07-05,Linear,5.866747936883409,0.006068865693836004
Precipitation,2015-07-06,Linear,4.59475322625969,0.11665014459505292
Precipitation,2015-07-07,Linear,9.98937884741324,0.5109704027486804
Precipitation,2015-07-08,Linear,5.1527299515160125,-0.08523646152558911
Precipitation,2015-07-09,Linear,4.75391763783314,-0.09900435542606148
Precipitation,2015-07-10,Linear,4.268317470917766,0.03500763349408898
Precipitation,2015-07-11,Linear,16.644925548935802,0.01855204415565198
Precipitation,2015-07-12,Linear,7.42838414095035,0.15313839937109158
Precipitation,2015-08-01,Linear,1.281404416046104,-0.0754914914032247
Precipitation,2015-08-02,Linear,8.40847997562077,-0.05606776928223637
Precipitation,2015-08-03,Linear,2.9009846370605152,-0.0683579316888441
Precipitation,2015-08-04,Linear,4.758613205119016,0.049979837829097165
Precipitation,2015-08-05,Linear,5.856966071497038,0.14224725574234182
Precipitation,2015-08-06,Linear,8.01701100087518,0.18722913285611886
Precipitation,2015-08-07,Linear,4.433887800964621,-0.10750836614250114
Precipitation,2015-08-08,Linear,3.1091901174283567,0.10025113847298323
Precipitation,2015-08-09,Linear,6.47665500178779,0.003651295159391508
Precipitation,2015-08-10,Linear,3.886765083925348,0.1348782595130254
Precipitation,2015-08-11,Linear,7.158874317617098,-0.01825066776307883
Precipitation,2015-08-12,Linear,19.074575071002812,-0.06865894952434935
Precipitation,2015-09-01,Linear,1.575734481091248,0.2339260328154377
Precipitation,2015-09-02,Linear,6.672720903499755,0.09703872371258325
Precipitation,2015-09-03,Linear,7.547098738119499,-0.044909975191646245
Precipitation,2015-09-04,Linear,6.15716901241646,-0.07714447487609688
Precipitation,2015-09-05,Linear,5.511003077576723,-0.1713635463434605
Precipitation,2015-09-06,Linear,6.906842013743188,0.026782872236950073
Precipitation,2015-09-07,Linear,4.600703994193306,-0.09850014184643718
Precipitation,2015-09-08,Linear,3.0536106584005878,0.24480741375635776
Precipitation,2015-09-09,Linear,9.435869717656868,0.4748640903560419
Precipitation,2015-09-10,Linear,6.551392830252574,0.0746638896566164
Precipitation,2015-09-11,Linear,6.922834123317121,-0.017180850981973313
Precipitation,2015-09-12,Linear,6.533483124145695,-0.13804717719044524
Precipitation,2015-10-01,Linear,5.925347676763798,-0.08031614785038681
Precipitation,2015-10-02,Linear,2.044959240228931,0.09607933794390704
Precipitation,2015-10-03,Linear,6.548858589169859,0.023786076263617374
Precipitation,2015-10-04,Linear,14.844271945093432,-0.07482466077465184
Precipitation,2015-10-05,Linear,8.224881955033329,-0.09947709555905787
Precipitation,2015-10-06,Linear,13.071092060422234,0.21170111877463005
Precipitation,2015-10-07,Linear,2.2475774149726044,0.10029553178349059
Precipitation,2015-10-08,Linear,6.667377125996307,-0.08640390376428277
Precipitation,2015-10-09,Linear,8.472640439690425,0.0509071573240375
Precipitation,2015-10-10,Linear,7.1001007428412795,0.6337917091996106
Precipitation,2015-10-11,Linear,4.803292635483398,0.2119649517588677
Precipitation,2015-10-12,Linear,6.711527358380467,0.15500280885503348
Precipitation,2015-11-01,Linear,3.736404023953382,0.00951870796646957
Precipitation,2015-11-02,Linear,0.7706463162025099,-0.09049300615103624
Precipitation,2015-11-03,Linear,5.182354854690432,-0.02843500941092427
Precipitation,2015-11-04,Linear,6.364334071694982,-0.05995537576688935
Precipitation,2015-11-05,Linear,6.882563488364613,0.24076378671698592
Precipitation,2015-11-06,Linear,6.714413262614059,0.05114716086694762
Precipitation,2015-11-07,Linear,3.7213087450871543,0.058244126313713986
Precipitation,2015-11-08,Linear,11.7872733873339,0.07211035524778599
Precipitation,2015-11-09,Linear,9.016573485990039,-0.07144092256646263
Precipitation,2015-11-10,Linear,2.3985688083697485,0.10343142697673616
Precipitation,2015-11-11,Linear,3.0543628215962704,0.4667555985813984
Precipitation,2015-11-12,Linear,2.8976026495377174,0.0318815050175974
Precipitation,2015-12-01,Linear,9.478310315105075,0.22111117346126383
Precipitation,2015-12-02,Linear,1.4720337396199066,0.09036680539500698
Precipitation,2015-12-03,Linear,4.547962887890003,0.02383576944964588
Precipitation,2015-12-04,Linear,8.024322109769555,0.08662742514605233
Precipitation,2015-12-05,Linear,6.246713770776909,-0.05370493949306393
Precipitation,2015-12-06,Linear,6.435928987510663,-0.11483649160626631
Precipitation,2015-12-07,Linear,7.103037940643094,-0.02762203852122408
Precipitation,2015-12-08,Linear,6.6590580503282535,-0.07073107734546757
Precipitation,2015-12-09,Linear,4.011521898607787,-0.0015148709654513612
Precipitation,2015-12-10,Linear,3.3393871386480125,0.21805424203522222
Precipitation,2015-12-11,Linear,18.33594471658788,0.1880801565675437
Precipitation,2015-12-12,Linear,9.224429212096144,0.6159347983217636
Relative humidity,2015-01-01,RBF linear,10.689899869144293,0.6488541089528365
Relative humidity,2015-01-02,RBF linear,16.276759726190246,0.20479948493937072
Relative humidity,2015-01-03,RBF linear,14.345837776865507,0.38508759872346493
Relative humidity,2015-01-04,RBF linear,26.049673173019155,0.32522582358160623
Relative humidity,2015-01-05,RBF linear,22.876368107113674,0.3490118540193071
Relative humidity,2015-01-06,RBF linear,20.966994816067295,0.25466463065145445
Relative humidity,2015-01-07,RBF linear,21.935805769145354,0.030293499159785107
Relative humidity,2015-01-08,RBF linear,25.813146678573744,-0.06992933305375865
Relative humidity,2015-01-09,RBF linear,24.91997362622681,-0.13017918334001452
Relative humidity,2015-01-10,RBF linear,25.28236938523666,-0.19753475779023585
Relative humidity,2015-01-11,RBF linear,23.44103644536834,-0.20606001595565562
Relative humidity,2015-01-12,RBF linear,21.374970604572972,0.05154702462077292
Relative humidity,2015-02-01,RBF linear,13.897577390608136,0.3511294929151124
Relative humidity,2015-02-02,RBF linear,10.06702195664996,0.6199183748579852
Relative humidity,2015-02-03,RBF linear,18.298420829241408,-0.18886510683544844
Relative humidity,2015-02-04,RBF linear,21.86115875156688,0.32173984664662414
Relative humidity,2015-02-05,RBF linear,21.378160280798173,0.5089838161169349
Relative humidity,2015-02-06,RBF linear,21.388621204185323,0.3972376946068072
Relative humidity,2015-02-07,RBF linear,21.58817188972978,0.2630904679909049
Relative humidity,2015-02-08,RBF linear,21.278251087920868,0.2560347854377065
